Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Anerastia lotella	1666820	GCA_964291865.1	ilAneLote1.hap1.1	2024-10-28	SAMEA112964081	PRJEB81573	PRJEB76333	SOURCE_DATABASE_GENBANK
Anerastia lotella	1666820	GCA_964291795.1	ilAneLote1.hap2.1	2024-10-25	SAMEA112964081	PRJEB81574	PRJEB76333	SOURCE_DATABASE_GENBANK
Angerona prunaria	722656	GCA_965612255.1	ilAngPrun1.hap2.1	2025-07-08	SAMEA117479497	PRJEB90799	PRJEB87955	SOURCE_DATABASE_GENBANK
Angerona prunaria	722656	GCA_965612305.1	ilAngPrun1.hap1.1	2025-07-08	SAMEA117479497	PRJEB90798	PRJEB87955	SOURCE_DATABASE_GENBANK
Angustalius malacellus	2231905	GCA_964639005.1	ilAngMala3.hap1.1	2025-01-02	SAMEA115949038	PRJEB83296	PRJEB82407	SOURCE_DATABASE_GENBANK
Angustalius malacellus	2231905	GCA_964638645.1	ilAngMala3.hap2.1	2025-01-03	SAMEA115949038	PRJEB83297	PRJEB82407	SOURCE_DATABASE_GENBANK
Anilocra frontalis	2925007	GCA_964640705.1	qmAniFron2.1	2025-01-02	SAMEA13831406	PRJEB83303	PRJEB79547	SOURCE_DATABASE_GENBANK
Anilocra frontalis	2925007	GCA_964640815.1	qmAniFron2.1 alternate haplotype	2025-01-04	SAMEA13831406	PRJEB83302	PRJEB79547	SOURCE_DATABASE_GENBANK
Anisosticta novemdecimpunctata	185876	GCA_964188095.1	icAniNove2.1	2024-06-21	SAMEA112963030	PRJEB76704	PRJEB66404	SOURCE_DATABASE_GENBANK
Anisosticta novemdecimpunctata	185876	GCA_964188085.1	icAniNove2.1 alternate haplotype	2024-06-19	SAMEA112963030	PRJEB76705	PRJEB66404	SOURCE_DATABASE_GENBANK
Anisus vorticulus	3071549	GCA_964264155.1	xgAniVori1.1	2024-09-15	SAMEA114640055	PRJEB80127	PRJEB77487	SOURCE_DATABASE_GENBANK
Anisus vorticulus	3071549	GCA_964264205.1	xgAniVori1.1 alternate haplotype	2024-09-15	SAMEA114640055	PRJEB80126	PRJEB77487	SOURCE_DATABASE_GENBANK
Anobium punctatum	877859	GCA_965643755.1	icAnoPunc1.hap1.1	2025-07-19	SAMEA111458820	PRJEB94002	PRJEB73647	SOURCE_DATABASE_GENBANK
Anobium punctatum	877859	GCA_965643725.1	icAnoPunc1.hap2.1	2025-07-19	SAMEA111458820	PRJEB94003	PRJEB73647	SOURCE_DATABASE_GENBANK
Anodontia alba	244458	GCA_964016985.1	xbAnoAlba1.1	2024-03-22	SAMEA110043978	PRJEB74124	PRJEB73659	SOURCE_DATABASE_GENBANK
Anodontia alba	244458	GCA_964016975.1	xbAnoAlba1.1 alternate haplotype	2024-03-23	SAMEA110043978	PRJEB74123	PRJEB73659	SOURCE_DATABASE_GENBANK
Anoectangium aestivum	200692	GCA_977018995.1	cbAnoAest3.1	2025-11-07	SAMEA10983044	PRJEB102135	PRJEB97985	SOURCE_DATABASE_GENBANK
Anomodon viticulosus	253516	GCA_976358155.1	cbAnoViti19.1	2025-10-26	SAMEA112690778	PRJEB96218	PRJEB80507	SOURCE_DATABASE_GENBANK
Anopheles arabiensis	7173	GCA_963924045.1	idAnoArabHR-G3.1 alternate haplotype	2024-01-19	SAMEA115080206	PRJEB71909	PRJEB71646	SOURCE_DATABASE_GENBANK
Anopheles arabiensis	7173	GCA_963924065.2	idAnoArabHR-G3.2	2024-06-26	SAMEA115080206	PRJEB71908	PRJEB71646	SOURCE_DATABASE_GENBANK
Anopheles bellator	139047	GCA_964417145.1	idAnoBell6.1 alternate haplotype	2024-12-05	SAMEA115165530	PRJEB83062	PRJEB51742	SOURCE_DATABASE_GENBANK
Anopheles bellator	139047	GCA_964417195.1	idAnoBell6.1	2024-12-05	SAMEA115165530	PRJEB83063	PRJEB51742	SOURCE_DATABASE_GENBANK
Anopheles cruzii	68878	GCA_964417045.1	idAnoCruz5.1	2024-12-05	SAMEA115165528	PRJEB83064	PRJEB51748	SOURCE_DATABASE_GENBANK
Anopheles cruzii	68878	GCA_964417115.1	idAnoCruz6.1	2024-12-05	SAMEA115165529	PRJEB83066	PRJEB51748	SOURCE_DATABASE_GENBANK
Anopheles cruzii	68878	GCA_964417205.1	idAnoCruz5.1 alternate haplotype	2024-12-05	SAMEA115165528	PRJEB83065	PRJEB51748	SOURCE_DATABASE_GENBANK
Anopheles cruzii	68878	GCA_964417285.1	idAnoCruz6.1 alternate haplotype	2024-12-05	SAMEA115165529	PRJEB83067	PRJEB51748	SOURCE_DATABASE_GENBANK
Anopheles funestus	62324	GCA_963923995.1	idAnoFune21.1 alternate haplotype	2024-01-19	SAMEA112884315	PRJEB71904	PRJEB51752	SOURCE_DATABASE_GENBANK
Anopheles funestus	62324	GCA_964033645.1	idAnoFune21.1	2024-04-24	SAMEA112884315	PRJEB71905	PRJEB51752	SOURCE_DATABASE_GENBANK
Anopheles mascarensis	2259328	GCA_965266975.1	idAnoMasc1.1	2025-04-30	SAMEA116048918	PRJEB88952	PRJEB83523	SOURCE_DATABASE_GENBANK
Anopheles mascarensis	2259328	GCA_965266965.1	idAnoMasc1.1 alternate haplotype	2025-04-30	SAMEA116048918	PRJEB88953	PRJEB83523	SOURCE_DATABASE_GENBANK
Anopheles minimus	112268	GCA_965234385.1	idAnoMini7.1	2025-04-05	SAMEA114089976	PRJEB88031	PRJEB83170	SOURCE_DATABASE_GENBANK
Anopheles minimus	112268	GCA_965234605.1	idAnoMini7.1 alternate haplotype	2025-04-04	SAMEA114089976	PRJEB88032	PRJEB83170	SOURCE_DATABASE_GENBANK
Anopheles oryzalimnetes	58237	GCA_964417245.1	idAnoOryz6.1	2024-12-05	SAMEA115165531	PRJEB83069	PRJEB51764	SOURCE_DATABASE_GENBANK
Anopheles oryzalimnetes	58237	GCA_964417075.1	idAnoOryz6.1 alternate haplotype	2024-12-05	SAMEA115165531	PRJEB83068	PRJEB51764	SOURCE_DATABASE_GENBANK
Anopheles pauliani	1620269	GCA_965234765.1	idAnoPaul1.1	2025-04-05	SAMEA116048921	PRJEB88034	PRJEB83525	SOURCE_DATABASE_GENBANK
Anopheles pauliani	1620269	GCA_965234665.1	idAnoPaul1.1 alternate haplotype	2025-04-04	SAMEA116048921	PRJEB88033	PRJEB83525	SOURCE_DATABASE_GENBANK
Anopheles pharoensis	221566	GCA_965231785.1	idAnoPhar1.1	2025-03-29	SAMEA115888520	PRJEB87755	PRJEB83513	SOURCE_DATABASE_GENBANK
Anopheles pharoensis	221566	GCA_965231975.1	idAnoPhar1.1 alternate haplotype	2025-03-29	SAMEA115888520	PRJEB87754	PRJEB83513	SOURCE_DATABASE_GENBANK
Anopheles pretoriensis	1141471	GCA_965234755.1	idAnoPret1.1	2025-04-05	SAMEA116048911	PRJEB88035	PRJEB83529	SOURCE_DATABASE_GENBANK
Anopheles pretoriensis	1141471	GCA_965234535.1	idAnoPret1.1 alternate haplotype	2025-04-04	SAMEA116048911	PRJEB88036	PRJEB83529	SOURCE_DATABASE_GENBANK
Anopheles squamosus	911292	GCA_965234655.1	idAnoSqua2.1	2025-04-05	SAMEA116048910	PRJEB88038	PRJEB83527	SOURCE_DATABASE_GENBANK
Anopheles squamosus	911292	GCA_965234395.1	idAnoSqua2.1 alternate haplotype	2025-04-04	SAMEA116048910	PRJEB88037	PRJEB83527	SOURCE_DATABASE_GENBANK
Anser albifrons	50365	GCA_976913865.1	bAnsAlb1.hap1.1	2025-10-26	SAMEA115433003	PRJEB97127	PRJEB80345	SOURCE_DATABASE_GENBANK
Anser albifrons	50365	GCA_976916765.1	bAnsAlb1.hap2.1	2025-10-27	SAMEA115433003	PRJEB97126	PRJEB80345	SOURCE_DATABASE_GENBANK
Anser anser	8843	GCA_964211835.1	bAnsAns1.hap1.1	2024-07-31	SAMEA113398854	PRJEB78491	PRJEB73445	SOURCE_DATABASE_GENBANK
Anser anser	8843	GCA_964211785.1	bAnsAns1.hap2.1	2024-07-31	SAMEA113398854	PRJEB78492	PRJEB73445	SOURCE_DATABASE_GENBANK
Anser brachyrhynchus	132585	GCA_964034845.1	bAnsBra1.1 alternate haplotype	2024-04-26	SAMEA112468040	PRJEB75304	PRJEB68284	SOURCE_DATABASE_GENBANK
Anser brachyrhynchus	132585	GCA_964034855.1	bAnsBra1.1	2024-04-27	SAMEA112468040	PRJEB75305	PRJEB68284	SOURCE_DATABASE_GENBANK
Anser erythropus	132586	GCA_965277985.1	bAnsEry1.hap1.1	2025-05-04	SAMEA113398961	PRJEB89150	PRJEB74599	SOURCE_DATABASE_GENBANK
Anser erythropus	132586	GCA_965277975.1	bAnsEry1.hap2.1	2025-05-03	SAMEA113398961	PRJEB89151	PRJEB74599	SOURCE_DATABASE_GENBANK
Anser fabalis	132587	GCA_965250395.1	bAnsFab1.1	2025-04-20	SAMEA113398846	PRJEB88628	PRJEB75623	SOURCE_DATABASE_GENBANK
Anser fabalis	132587	GCA_965250455.1	bAnsFab1.1 alternate haplotype	2025-04-20	SAMEA113398846	PRJEB88627	PRJEB75623	SOURCE_DATABASE_GENBANK
Anseropoda placenta	290518	GCA_965124015.1	eaAnsPlac2.hap1.1	2025-02-11	SAMEA112789132	PRJEB85581	PRJEB79611	SOURCE_DATABASE_GENBANK
Anseropoda placenta	290518	GCA_965123965.1	eaAnsPlac2.hap2.1	2025-02-10	SAMEA112789132	PRJEB85582	PRJEB79611	SOURCE_DATABASE_GENBANK
Antedon mediterranea	105859	GCA_964355755.1	ecAntMedi1.1	2024-11-29	SAMEA115861774	PRJEB82496	PRJEB82497	SOURCE_DATABASE_GENBANK
Anthias anthias	327821	GCA_964269795.2	fAntAnt1.2	2024-11-09	SAMEA115861775	PRJEB77721	PRJEB77722	SOURCE_DATABASE_GENBANK
Anthobium unicolor	347271	GCA_965663565.1	icAntUnic1.1	2025-08-23	SAMEA8603251	PRJEB94974	PRJEB71250	SOURCE_DATABASE_GENBANK
Anthobium unicolor	347271	GCA_965663555.1	icAntUnic1.1 alternate haplotype	2025-08-22	SAMEA8603251	PRJEB94973	PRJEB71250	SOURCE_DATABASE_GENBANK
Anthocharis euphenoides	1107568	GCA_965113005.1	ilAntEuph1.hap1.1	2025-01-24	SAMEA115768759	PRJEB84461	PRJEB81907	SOURCE_DATABASE_GENBANK
Anthocharis euphenoides	1107568	GCA_965112995.1	ilAntEuph1.hap2.1	2025-01-24	SAMEA115768759	PRJEB84460	PRJEB81907	SOURCE_DATABASE_GENBANK
Anthocomus fasciatus	346704	GCA_964258815.1	icAntFasc1.hap1.1	2024-09-01	SAMEA114644910	PRJEB79481	PRJEB78780	SOURCE_DATABASE_GENBANK
Anthocomus fasciatus	346704	GCA_964258825.1	icAntFasc1.hap2.1	2024-08-30	SAMEA114644910	PRJEB79480	PRJEB78780	SOURCE_DATABASE_GENBANK
Anthocoris nemoralis	191314	GCA_964249955.1	ihAntNemo1.1	2024-08-31	SAMEA110451534	PRJEB79330	PRJEB78326	SOURCE_DATABASE_GENBANK
Anthocoris nemoralis	191314	GCA_964246475.1	ihAntNemo1.1 alternate haplotype	2024-08-29	SAMEA110451534	PRJEB79329	PRJEB78326	SOURCE_DATABASE_GENBANK
Anthomyza gracilis	500284	GCA_964263875.1	idAntGrac1.hap1.1	2024-09-15	SAMEA112232883	PRJEB80004	PRJEB77767	SOURCE_DATABASE_GENBANK
Anthomyza gracilis	500284	GCA_964263915.1	idAntGrac1.hap2.1	2024-09-15	SAMEA112232883	PRJEB80003	PRJEB77767	SOURCE_DATABASE_GENBANK
Anthophora rogenhoferi	597850	GCA_977011885.1	iyAntRoge3.1	2025-11-29	SAMEA116299001	PRJEB96311	PRJEB96367	SOURCE_DATABASE_GENBANK
Anthopleura artemisia	160216	GCA_964304775.1	jaAntArte2.1	2024-11-07	SAMEA112465889	PRJEB81885	PRJEB74259	SOURCE_DATABASE_GENBANK
Anthopleura artemisia	160216	GCA_964304795.1	jaAntArte2.1 alternate haplotype	2024-11-07	SAMEA112465889	PRJEB81884	PRJEB74259	SOURCE_DATABASE_GENBANK
Anthopleura xanthogrammica	6112	GCA_964019055.1	jaAntXant3.1	2024-03-24	SAMEA112465888	PRJEB74215	PRJEB73657	SOURCE_DATABASE_GENBANK
Anthopleura xanthogrammica	6112	GCA_964019075.1	jaAntXant3.1 alternate haplotype	2024-03-23	SAMEA112465888	PRJEB74216	PRJEB73657	SOURCE_DATABASE_GENBANK
Anthrax anthrax	2725500	GCA_963971155.1	idAntAnth1.1	2024-03-04	SAMEA112232691	PRJEB73461	PRJEB64720	SOURCE_DATABASE_GENBANK
Anthrax anthrax	2725500	GCA_963971115.1	idAntAnth1.1 alternate haplotype	2024-03-04	SAMEA112232691	PRJEB73462	PRJEB64720	SOURCE_DATABASE_GENBANK
Anthyllis vulneraria	118891	GCA_965615755.1	drAntVuln1.hap1.1	2025-07-08	SAMEA9335120	PRJEB90963	PRJEB76526	SOURCE_DATABASE_GENBANK
Anthyllis vulneraria	118891	GCA_965615695.1	drAntVuln1.hap2.1	2025-07-07	SAMEA9335120	PRJEB90962	PRJEB76526	SOURCE_DATABASE_GENBANK
Antillogorgia americana	204378	GCA_976986585.1	jaAntAmer4.hap1.1	2025-10-26	SAMEA12927194	PRJEB98588	PRJEB97649	SOURCE_DATABASE_GENBANK
Antillogorgia americana	204378	GCA_976986605.1	jaAntAmer4.hap2.1	2025-10-26	SAMEA12927194	PRJEB98586	PRJEB97649	SOURCE_DATABASE_GENBANK
Antipathes furcata	795029	GCA_977019255.1	jaAntFurc1.1	2025-11-08	SAMEA113581027	PRJEB102240	PRJEB86185	SOURCE_DATABASE_GENBANK
Antipathes furcata	795029	GCA_977019245.1	jaAntFurc1.1 alternate haplotype	2025-11-08	SAMEA113581027	PRJEB102241	PRJEB86185	SOURCE_DATABASE_GENBANK
Apaeleticus inimicus	2979194	GCA_965197045.1	iyApaInim1.hap1.1	2025-03-10	SAMEA111458177	PRJEB86661	PRJEB73898	SOURCE_DATABASE_GENBANK
Apaeleticus inimicus	2979194	GCA_965197085.1	iyApaInim1.hap2.1	2025-03-09	SAMEA111458177	PRJEB86662	PRJEB73898	SOURCE_DATABASE_GENBANK
Apamea lithoxylaea	987881	GCA_965234015.1	ilApaLith1.hap1.1	2025-04-06	SAMEA10978950	PRJEB87985	PRJEB84087	SOURCE_DATABASE_GENBANK
Apamea lithoxylaea	987881	GCA_965234145.1	ilApaLith1.hap2.1	2025-04-04	SAMEA10978950	PRJEB87984	PRJEB84087	SOURCE_DATABASE_GENBANK
Apamea sublustris	987887	GCA_964263905.1	ilApaSubl1.hap1.1	2024-09-15	SAMEA114644769	PRJEB80009	PRJEB78784	SOURCE_DATABASE_GENBANK
Apamea sublustris	987887	GCA_964264035.1	ilApaSubl1.hap2.1	2024-09-15	SAMEA114644769	PRJEB80010	PRJEB78784	SOURCE_DATABASE_GENBANK
Aphelia paleana	753154	GCA_964237545.1	ilAphPale1.hap1.1	2024-08-31	SAMEA114805971	PRJEB79217	PRJEB78812	SOURCE_DATABASE_GENBANK
Aphelia paleana	753154	GCA_964237565.1	ilAphPale1.hap2.1	2024-08-29	SAMEA114805971	PRJEB79216	PRJEB78812	SOURCE_DATABASE_GENBANK
Aphelia unitana	1144632	GCA_971866565.1	ilAphUnit1.hap1.1	2025-09-14	SAMEA117573910	PRJEB96107	PRJEB92280	SOURCE_DATABASE_GENBANK
Aphelia unitana	1144632	GCA_971871695.1	ilAphUnit1.hap2.1	2025-09-11	SAMEA117573910	PRJEB96106	PRJEB92280	SOURCE_DATABASE_GENBANK
Aphidecta obliterata	1501862	GCA_963966015.1	icAphObli1.1	2024-02-11	SAMEA112198533	PRJEB72512	PRJEB68260	SOURCE_DATABASE_GENBANK
Aphidecta obliterata	1501862	GCA_963965955.1	icAphObli1.1 alternate haplotype	2024-02-11	SAMEA112198533	PRJEB72513	PRJEB68260	SOURCE_DATABASE_GENBANK
Aphis hederae	511033	GCA_976991415.1	ihAphHede1.hap1.1	2025-11-08	SAMEA117578648	PRJEB98903	PRJEB95778	SOURCE_DATABASE_GENBANK
Aphis hederae	511033	GCA_976991405.1	ihAphHede1.hap2.1	2025-11-08	SAMEA117578648	PRJEB98902	PRJEB95778	SOURCE_DATABASE_GENBANK
Aphodius fimetarius	207148	GCA_964211865.1	icAphFime1.1	2024-08-01	SAMEA112232683	PRJEB78531	PRJEB64100	SOURCE_DATABASE_GENBANK
Aphodius fimetarius	207148	GCA_964211875.1	icAphFime1.1 alternate haplotype	2024-07-31	SAMEA112232683	PRJEB78532	PRJEB64100	SOURCE_DATABASE_GENBANK
Aphodius granarius	207157	GCA_963971325.1	icAphGran1.1	2024-03-04	SAMEA112232679	PRJEB73495	PRJEB61913	SOURCE_DATABASE_GENBANK
Aphodius granarius	207157	GCA_963971265.1	icAphGran1.1 alternate haplotype	2024-03-04	SAMEA112232679	PRJEB73494	PRJEB61913	SOURCE_DATABASE_GENBANK
Aphodius sticticus	207213	GCA_963966075.1	icAphStic4.1	2024-02-12	SAMEA112774809	PRJEB72519	PRJEB70743	SOURCE_DATABASE_GENBANK
Aphodius sticticus	207213	GCA_963966085.1	icAphStic4.1 alternate haplotype	2024-02-11	SAMEA112774809	PRJEB72518	PRJEB70743	SOURCE_DATABASE_GENBANK
Aphomia sociella	688398	GCA_965363045.1	ilAphSoci2.hap1.1	2025-07-06	SAMEA7520671	PRJEB90255	PRJEB84099	SOURCE_DATABASE_GENBANK
Aphomia sociella	688398	GCA_965363025.1	ilAphSoci2.hap2.1	2025-07-07	SAMEA7520671	PRJEB90254	PRJEB84099	SOURCE_DATABASE_GENBANK
Aphrophora major	2898095	GCA_965285795.1	ihAphMajo1.hap1.1	2025-06-07	SAMEA117578675	PRJEB89755	PRJEB88680	SOURCE_DATABASE_GENBANK
Aphrophora major	2898095	GCA_965285815.1	ihAphMajo1.hap2.1	2025-06-07	SAMEA117578675	PRJEB89754	PRJEB88680	SOURCE_DATABASE_GENBANK
Aphrophora moscoviciae	3384248	GCA_965612245.1	ihAphMosc1.hap1.1	2025-07-08	SAMEA117578674	PRJEB90797	PRJEB88684	SOURCE_DATABASE_GENBANK
Aphrophora moscoviciae	3384248	GCA_965612285.1	ihAphMosc1.hap2.1	2025-07-07	SAMEA117578674	PRJEB90796	PRJEB88684	SOURCE_DATABASE_GENBANK
Apletodon dentatus	206117	GCA_965542115.1	fAplDen1.1	2025-07-02	SAMEA118541975	PRJEB90136	PRJEB90134	SOURCE_DATABASE_GENBANK
Aplidium pallidum	2980188	GCA_974891035.1	kaAplPall1.1	2025-10-08	SAMEA112788962	PRJEB95043	PRJEB81190	SOURCE_DATABASE_GENBANK
Aplidium pallidum	2980188	GCA_965669705.1	kaAplPall1.1 alternate haplotype	2025-08-09	SAMEA112788962	PRJEB95044	PRJEB81190	SOURCE_DATABASE_GENBANK
Aplocera plagiata	942218	GCA_965199025.1	ilAplPlag1.hap1.1	2025-03-13	SAMEA115163580	PRJEB86824	PRJEB83740	SOURCE_DATABASE_GENBANK
Aplocera plagiata	942218	GCA_965199315.1	ilAplPlag1.hap2.1	2025-03-13	SAMEA115163580	PRJEB86823	PRJEB83740	SOURCE_DATABASE_GENBANK
Aplocera praeformata	934918	GCA_964260645.1	ilAplPrae1.hap1.1	2024-09-05	SAMEA115109874	PRJEB79552	PRJEB78786	SOURCE_DATABASE_GENBANK
Aplocera praeformata	934918	GCA_964260625.1	ilAplPrae1.hap2.1	2024-09-05	SAMEA115109874	PRJEB79553	PRJEB78786	SOURCE_DATABASE_GENBANK
Aplysilla rubra	1266580	GCA_977007035.1	ooOscRubr1.1	2025-11-07	SAMEA118808648	PRJEB94198	PRJEB94196	SOURCE_DATABASE_GENBANK
Aplysina cauliformis	289398	GCA_965643675.1	odAplCaul1.hap1.1	2025-07-19	SAMEA115454838	PRJEB93956	PRJEB88297	SOURCE_DATABASE_GENBANK
Aplysina cauliformis	289398	GCA_965643535.1	odAplCaul1.hap2.1	2025-07-19	SAMEA115454838	PRJEB93955	PRJEB88297	SOURCE_DATABASE_GENBANK
Aplysina cavernicola	121477	GCA_964659575.1	odAplCave1.1	2025-01-02	SAMEA115861779	PRJEB83613	PRJEB83614	SOURCE_DATABASE_GENBANK
Aplysina insularis	289402	GCA_964270515.1	odAplInsu1.1	2024-09-29	SAMEA115454839	PRJEB80593	PRJEB79301	SOURCE_DATABASE_GENBANK
Aplysina insularis	289402	GCA_964270655.1	odAplInsu1.1 alternate haplotype	2024-09-29	SAMEA115454839	PRJEB80592	PRJEB79301	SOURCE_DATABASE_GENBANK
Apodemus agrarius	39030	GCA_964023405.1	mApoAgr2.1	2024-04-12	SAMEA112797479	PRJEB74496	PRJEB74497	SOURCE_DATABASE_GENBANK
Apogon imberbis	357811	GCA_964211915.2	fApoImb1.1	2024-11-15	SAMEA115861781	PRJEB77718	PRJEB77719	SOURCE_DATABASE_GENBANK
Aponogeton distachyos	55311	GCA_965152715.1	laApoDist1.hap2.1	2025-02-19	SAMEA7522292	PRJEB85903	PRJEB77446	SOURCE_DATABASE_GENBANK
Aponogeton distachyos	55311	GCA_965152745.1	laApoDist1.hap1.1	2025-02-19	SAMEA7522292	PRJEB85904	PRJEB77446	SOURCE_DATABASE_GENBANK
Aporophyla lutulenta	988064	GCA_977061935.1	ilApoLutu1.hap1.1	2025-11-15	SAMEA118260591	PRJEB102845	PRJEB97580	SOURCE_DATABASE_GENBANK
Aporophyla lutulenta	988064	GCA_977061925.1	ilApoLutu1.hap2.1	2025-11-15	SAMEA118260591	PRJEB102846	PRJEB97580	SOURCE_DATABASE_GENBANK
Aporrectodea caliginosa	302032	GCA_977066145.1	wcApoCali1.hap2.1	2025-11-28	SAMEA7523859	PRJEB103853	PRJEB79443	SOURCE_DATABASE_GENBANK
Apotomis sauciana	1030474	GCA_965655145.1	ilApoSauc2.hap1.1	2025-08-04	SAMEA117574545	PRJEB94918	PRJEB91411	SOURCE_DATABASE_GENBANK
Apotomis sauciana	1030474	GCA_965655115.1	ilApoSauc2.hap2.1	2025-08-04	SAMEA117574545	PRJEB94917	PRJEB91411	SOURCE_DATABASE_GENBANK
Apotomis sororculana	1030475	GCA_965663485.1	ilApoSoro1.hap2.1	2025-08-09	SAMEA117574985	PRJEB94983	PRJEB91413	SOURCE_DATABASE_GENBANK
Apotomis sororculana	1030475	GCA_965663535.1	ilApoSoro1.hap1.1	2025-08-23	SAMEA117574985	PRJEB94984	PRJEB91413	SOURCE_DATABASE_GENBANK
Aproaerema cinctella	2566302	GCA_976954445.1	ilAprCint1.hap1.1	2025-10-08	SAMEA117574965	PRJEB98048	PRJEB96980	SOURCE_DATABASE_GENBANK
Aproaerema cinctella	2566302	GCA_976954405.1	ilAprCint1.hap2.1	2025-10-26	SAMEA117574965	PRJEB98047	PRJEB96980	SOURCE_DATABASE_GENBANK
Aquilegia vulgaris	3451	GCA_964291885.1	dmAquVulg1.hap1.1	2024-10-28	SAMEA14449597	PRJEB81568	PRJEB77580	SOURCE_DATABASE_GENBANK
Aquilegia vulgaris	3451	GCA_964291825.1	dmAquVulg1.hap2.1	2024-10-28	SAMEA14449597	PRJEB81569	PRJEB77580	SOURCE_DATABASE_GENBANK
Arabis hirsuta	78191	GCA_964056655.1	ddAraHirs1.hap1.1	2024-05-17	SAMEA114214493	PRJEB75728	PRJEB73956	SOURCE_DATABASE_GENBANK
Arabis hirsuta	78191	GCA_964056645.1	ddAraHirs1.hap2.1	2024-05-18	SAMEA114214493	PRJEB75727	PRJEB73956	SOURCE_DATABASE_GENBANK
Aradus depressus	1452771	GCA_963662175.1	ihAraDepr1.1	2023-12-07	SAMEA112232731	PRJEB68350	PRJEB66770	SOURCE_DATABASE_GENBANK
Aradus depressus	1452771	GCA_963662165.1	ihAraDepr1.1 alternate haplotype	2023-12-12	SAMEA112232731	PRJEB68349	PRJEB66770	SOURCE_DATABASE_GENBANK
Aradus truncatus	2881568	GCA_965153375.1	ihAraTrun1.hap1.1	2025-02-28	SAMEA114663830	PRJEB85989	PRJEB85020	SOURCE_DATABASE_GENBANK
Aradus truncatus	2881568	GCA_965153405.1	ihAraTrun1.hap2.1	2025-02-28	SAMEA114663830	PRJEB85990	PRJEB85020	SOURCE_DATABASE_GENBANK
Araneus angulatus	1112382	GCA_965645275.1	qqAraAngu1.hap1.1	2025-07-28	SAMEA11024980	PRJEB94316	PRJEB73665	SOURCE_DATABASE_GENBANK
Araneus angulatus	1112382	GCA_965645295.1	qqAraAngu1.hap2.1	2025-07-28	SAMEA11024980	PRJEB94315	PRJEB73665	SOURCE_DATABASE_GENBANK
Araschnia levana	171575	GCA_964258735.1	ilAraLeva1.hap1.1	2024-09-01	SAMEA115109736	PRJEB79474	PRJEB78668	SOURCE_DATABASE_GENBANK
Araschnia levana	171575	GCA_964258705.1	ilAraLeva1.hap2.1	2024-08-30	SAMEA115109736	PRJEB79473	PRJEB78668	SOURCE_DATABASE_GENBANK
Arbacia lixula	7640	GCA_963669155.1	alix_v2	2024-03-18	SAMEA112696370	PRJEB60287	PRJEB49670	SOURCE_DATABASE_GENBANK
Arca noae	44597	GCA_964261245.2	xbArcNoae1.1	2024-12-05	SAMEA114349544	PRJEB77124	PRJEB77125	SOURCE_DATABASE_GENBANK
Archiearis parthenias	104468	GCA_976915725.1	ilArcPart1.hap1.1	2025-10-11	SAMEA117491974	PRJEB97132	PRJEB96584	SOURCE_DATABASE_GENBANK
Archiearis parthenias	104468	GCA_976918345.1	ilArcPart1.hap2.1	2025-10-26	SAMEA117491974	PRJEB97133	PRJEB96584	SOURCE_DATABASE_GENBANK
Archips oporana	1100917	GCA_965637185.1	ilArcOpor1.hap1.1	2025-07-09	SAMEA117573595	PRJEB91509	PRJEB89609	SOURCE_DATABASE_GENBANK
Archips oporana	1100917	GCA_965637025.1	ilArcOpor1.hap2.1	2025-07-09	SAMEA117573595	PRJEB91510	PRJEB89609	SOURCE_DATABASE_GENBANK
Archips podanus	2655036	GCA_964237515.1	ilArcPodn1.1	2024-08-31	SAMEA7701540	PRJEB79212	PRJEB55946	SOURCE_DATABASE_GENBANK
Archips podanus	2655036	GCA_964237425.1	ilArcPodn1.1 alternate haplotype	2024-08-29	SAMEA7701540	PRJEB79211	PRJEB55946	SOURCE_DATABASE_GENBANK
Arcopagia crassa	1028565	GCA_977017625.1	xbArcCras1.1	2025-11-07	SAMEA118808640	PRJEB94485	PRJEB94483	SOURCE_DATABASE_GENBANK
Arctia caja	289281	GCA_964264495.1	ilArcCaja1.hap1.1	2024-09-18	SAMEA115109945	PRJEB80188	PRJEB78788	SOURCE_DATABASE_GENBANK
Arctia caja	289281	GCA_964264445.1	ilArcCaja1.hap2.1	2024-09-17	SAMEA115109945	PRJEB80187	PRJEB78788	SOURCE_DATABASE_GENBANK
Arcuatula senhousia	1954227	GCA_963971305.1	xbArcSenh1.1	2024-03-04	SAMEA111562022	PRJEB73490	PRJEB63651	SOURCE_DATABASE_GENBANK
Arcuatula senhousia	1954227	GCA_963971255.1	xbArcSenh1.1 alternate haplotype	2024-03-04	SAMEA111562022	PRJEB73491	PRJEB63651	SOURCE_DATABASE_GENBANK
Arenaria serpyllifolia	254029	GCA_964235045.1	dcAreSerp1.hap1.1	2024-08-31	SAMEA114214481	PRJEB79094	PRJEB78644	SOURCE_DATABASE_GENBANK
Arenaria serpyllifolia	254029	GCA_964258985.1	dcAreSerp1.hap2.1	2024-09-06	SAMEA114214481	PRJEB79095	PRJEB78644	SOURCE_DATABASE_GENBANK
