Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Alouatta palliata	30589	GCA_004027835.1	AloPal_v1_BIUU	2019-01-16	SAMN07678036	PRJNA399372	PRJNA312960	SOURCE_DATABASE_GENBANK
Alsophila aescularia	104486	GCA_946251855.1	ilAlsAesc1.1	2022-09-12	SAMEA10107017	PRJEB55428	PRJEB54803	SOURCE_DATABASE_GENBANK
Alsophila aescularia	104486	GCA_946251895.1	ilAlsAesc1.1 alternate haplotype	2022-09-12	SAMEA10107017	PRJEB55427	PRJEB54803	SOURCE_DATABASE_GENBANK
Amaurobius ferox	336583	GCA_951213105.1	qqAmaFero1.1	2023-06-07	SAMEA8534437	PRJEB61829	PRJEB59161	SOURCE_DATABASE_GENBANK
Amaurobius ferox	336583	GCA_951215355.1	qqAmaFero1.1 alternate haplotype	2023-05-08	SAMEA8534437	PRJEB61830	PRJEB59161	SOURCE_DATABASE_GENBANK
Amazona guildingii	175529	GCA_013399615.1	ASM1339961v1	2020-07-10	SAMN12253802	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Amazona ochrocephala	151761	GCA_039720435.1	bAmaOch1.hap1	2024-05-24	SAMN41018448	PRJNA1102367	PRJNA1103237	SOURCE_DATABASE_GENBANK
Amazona ochrocephala	151761	GCA_039720425.1	bAmaOch1.hap2	2024-05-24	SAMN41018448	PRJNA1102368	PRJNA1103237	SOURCE_DATABASE_GENBANK
Amblyjoppa fuscipennis	2867249	GCA_963575735.1	iyAmbFusc1.1	2023-10-29	SAMEA11025147	PRJEB67901	PRJEB60817	SOURCE_DATABASE_GENBANK
Amblyopsis spelaea	1195602	GCA_046255725.1	fAmbSpe1.hap2	2024-12-23	SAMN45063415	PRJNA1190972	PRJNA1200670	SOURCE_DATABASE_GENBANK
